"Plot Title: BC13 MET"
"#","Date Time, GMT-07:00","Rain, mm (LGR S/N: 20418939, SEN S/N: 20391826)","Temp, °C (LGR S/N: 20418939, SEN S/N: 20411961)","RH, % (LGR S/N: 20418939, SEN S/N: 20411961)","Temp, °C (LGR S/N: 20418939, SEN S/N: 20412017)","Temp, °C (LGR S/N: 20418939, SEN S/N: 20412018)","Temp, °C (LGR S/N: 20418939, SEN S/N: 20412113)","Temp, °C (LGR S/N: 20418939, SEN S/N: 20412114)","PAR, µmol/m²/s (LGR S/N: 20418939, SEN S/N: 20419083)","Water Content, m³/m³ (LGR S/N: 20418939, SEN S/N: 20422271)","Water Content, m³/m³ (LGR S/N: 20418939, SEN S/N: 20422272)"
1,08/24/18 12:30:02 PM,,16.654,74.600,16.677,16.606,17.130,17.153,2553.7,0.5358,0.4817
2,08/24/18 01:00:02 PM,0.00,17.011,71.400,16.677,16.558,17.058,17.130,373.7,0.5358,0.4817
3,08/24/18 01:30:02 PM,0.00,18.033,69.400,16.725,16.558,17.058,17.153,771.2,0.5358,0.4826
4,08/24/18 02:00:02 PM,0.00,17.439,71.300,16.773,16.582,17.082,17.153,518.7,0.5368,0.4826
5,08/24/18 02:30:02 PM,0.00,17.249,72.500,16.820,16.582,17.106,17.201,661.2,0.5368,0.4810
6,08/24/18 03:00:02 PM,0.00,17.320,72.600,16.844,16.582,17.106,17.201,381.2,0.5368,0.4826
7,08/24/18 03:30:02 PM,0.00,18.842,69.500,16.892,16.582,17.153,17.249,466.2,0.5368,0.4826
8,08/24/18 04:00:02 PM,0.00,18.033,69.800,16.963,16.606,17.177,17.272,568.7,0.5384,0.4826
9,08/24/18 04:30:02 PM,0.00,18.461,68.900,17.011,16.630,17.201,17.320,193.7,0.5384,0.4833
10,08/24/18 05:00:02 PM,0.00,16.701,75.500,17.082,16.654,17.249,17.344,203.7,0.5384,0.4826
11,08/24/18 05:30:02 PM,0.00,17.915,70.100,17.153,16.677,17.272,17.391,296.2,0.5384,0.4826
12,08/24/18 06:00:02 PM,0.00,16.272,75.600,17.201,16.701,17.320,17.439,116.2,0.5384,0.4817
13,08/24/18 06:30:02 PM,0.00,16.034,77.200,17.201,16.725,17.344,17.439,108.7,0.5376,0.4826
14,08/24/18 07:00:02 PM,0.00,15.461,79.700,17.225,16.749,17.368,17.463,21.2,0.5384,0.4826
15,08/24/18 07:30:02 PM,0.00,15.031,81.200,17.225,16.773,17.391,17.463,33.7,0.5384,0.4833
16,08/24/18 08:00:02 PM,0.00,14.481,84.300,17.201,16.796,17.415,17.463,8.7,0.5384,0.4826
17,08/24/18 08:30:02 PM,0.00,13.882,86.800,17.201,16.820,17.439,17.463,1.2,0.5384,0.4826
18,08/24/18 09:00:02 PM,0.00,13.642,88.100,17.177,16.820,17.439,17.463,1.2,0.5384,0.4833
19,08/24/18 09:30:02 PM,0.00,13.642,89.100,17.130,16.820,17.439,17.439,1.2,0.5384,0.4833
20,08/24/18 10:00:02 PM,0.00,13.762,89.000,17.082,16.844,17.415,17.415,1.2,0.5392,0.4826
21,08/24/18 10:30:02 PM,0.00,13.497,90.300,17.058,16.844,17.415,17.391,1.2,0.5384,0.4833
22,08/24/18 11:00:02 PM,0.00,13.762,89.700,17.011,16.820,17.391,17.368,1.2,0.5384,0.4833
23,08/24/18 11:30:02 PM,0.00,13.642,89.300,16.963,16.820,17.391,17.344,1.2,0.5384,0.4833
24,08/25/18 12:00:02 AM,0.00,13.209,90.700,16.915,16.820,17.368,17.296,1.2,0.5384,0.4833
25,08/25/18 12:30:02 AM,0.00,13.425,90.700,16.892,16.796,17.344,17.272,1.2,0.5384,0.4833
26,08/25/18 01:00:02 AM,0.00,13.473,88.700,16.844,16.796,17.296,17.249,1.2,0.5384,0.4833
27,08/25/18 01:30:02 AM,0.00,13.401,87.500,16.820,16.773,17.296,17.201,1.2,0.5376,0.4826
28,08/25/18 02:00:02 AM,0.00,13.353,87.400,16.773,16.773,17.249,17.177,1.2,0.5376,0.4826
29,08/25/18 02:30:02 AM,0.00,13.449,86.900,16.749,16.749,17.249,17.153,1.2,0.5384,0.4826
30,08/25/18 03:00:02 AM,0.00,13.497,87.300,16.701,16.725,17.201,17.130,1.2,0.5384,0.4826
31,08/25/18 03:30:02 AM,0.00,13.618,85.300,16.677,16.725,17.201,17.106,1.2,0.5384,0.4833
32,08/25/18 04:00:02 AM,0.00,13.594,86.300,16.654,16.701,17.153,17.082,1.2,0.5384,0.4826
33,08/25/18 04:30:02 AM,0.00,13.473,85.800,16.630,16.677,17.153,17.058,1.2,0.5384,0.4826
34,08/25/18 05:00:02 AM,0.00,13.353,85.600,16.582,16.677,17.106,17.034,1.2,0.5384,0.4833
35,08/25/18 05:30:02 AM,0.00,13.257,87.300,16.582,16.654,17.106,17.011,1.2,0.5384,0.4826
36,08/25/18 06:00:02 AM,0.00,13.185,87.000,16.534,16.630,17.082,16.987,1.2,0.5384,0.4826
37,08/25/18 06:30:02 AM,0.00,12.968,85.600,16.511,16.630,17.058,16.963,1.2,0.5384,0.4826
38,08/25/18 07:00:02 AM,0.00,12.968,86.300,16.487,16.606,17.034,16.939,3.7,0.5376,0.4826
39,08/25/18 07:30:02 AM,0.00,13.137,86.900,16.463,16.582,17.011,16.915,16.2,0.5384,0.4826
40,08/25/18 08:00:02 AM,0.00,13.353,85.800,16.439,16.582,16.987,16.892,71.2,0.5384,0.4826
41,08/25/18 08:30:02 AM,0.00,13.377,85.300,16.415,16.558,16.963,16.868,43.7,0.5384,0.4826
42,08/25/18 09:00:02 AM,0.00,13.185,85.600,16.392,16.534,16.939,16.868,76.2,0.5384,0.4826
43,08/25/18 09:30:02 AM,0.00,13.209,87.200,16.392,16.511,16.915,16.820,123.7,0.5384,0.4826
44,08/25/18 10:00:02 AM,0.00,13.473,86.700,16.368,16.511,16.915,16.820,161.2,0.5384,0.4826
45,08/25/18 10:30:02 AM,0.00,14.146,84.700,16.344,16.487,16.892,16.796,276.2,0.5384,0.4826
46,08/25/18 11:00:02 AM,0.00,15.079,82.800,16.344,16.487,16.868,16.773,488.7,0.5384,0.4826
47,08/25/18 11:30:02 AM,0.00,15.270,79.500,16.344,16.463,16.868,16.773,453.7,0.5384,0.4826
48,08/25/18 12:00:02 PM,0.00,15.461,79.700,16.344,16.439,16.844,16.773,376.2,0.5384,0.4826
49,08/25/18 12:30:02 PM,0.00,16.249,76.600,16.392,16.439,16.844,16.773,591.2,0.5392,0.4826
50,08/25/18 01:00:02 PM,0.00,16.010,78.500,16.415,16.439,16.844,16.773,341.2,0.5384,0.4826
51,08/25/18 01:30:02 PM,0.00,15.843,79.000,16.439,16.439,16.844,16.773,346.2,0.5392,0.4826
52,08/25/18 02:00:02 PM,0.00,16.034,78.500,16.487,16.439,16.844,16.773,281.2,0.5392,0.4826
53,08/25/18 02:30:02 PM,0.00,16.296,77.800,16.511,16.439,16.868,16.796,281.2,0.5392,0.4826
54,08/25/18 03:00:02 PM,0.00,15.915,82.000,16.534,16.439,16.868,16.820,271.2,0.5392,0.4826
55,08/25/18 03:30:02 PM,0.00,14.601,90.300,16.582,16.439,16.892,16.820,123.7,0.5392,0.4826
56,08/25/18 04:00:02 PM,0.00,14.146,92.700,16.606,16.463,16.915,16.844,108.7,0.5392,0.4826
57,08/25/18 04:30:02 PM,0.00,14.529,93.700,16.630,16.463,16.915,16.844,133.7,0.5392,0.4826
