"TOA5","CR1000-WEST","CR1000","86623","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-19 20:00:00",0,-0.001,"NAN",0.015,"NAN","NAN","NAN",0.591,0.482
"2019-03-19 20:30:00",1,-0.002,"NAN",0.011,-1.375,"NAN",-0.002,0.614,0.5
"2019-03-19 21:00:00",2,-0.001,"NAN",0.009,-1.791,"NAN",-1.131,0.625,0.508
"2019-03-19 21:30:00",3,-0.001,"NAN",0.007,-1.272,"NAN",-1.275,0.629,0.51
"2019-03-19 22:00:00",4,0,"NAN",0.005,-1.358,"NAN",-1.371,0.634,0.513
"2019-03-19 22:30:00",5,0.002,"NAN",0.002,"NAN","NAN",-1.523,0.636,0.516
"2019-03-19 23:00:00",6,0.004,"NAN",-0.002,"NAN","NAN",-1.685,0.629,0.516
"2019-03-19 23:30:00",7,0.007,"NAN",-0.008,"NAN","NAN",-1.923,0.63,0.519
"2019-03-20 00:00:00",8,0.012,"NAN",-0.013,"NAN","NAN",-2.116,0.628,0.519
"2019-03-20 00:30:00",9,0.019,"NAN",-0.018,"NAN","NAN","NAN",0.63,0.521
"2019-03-20 01:00:00",10,0.033,"NAN",-0.021,"NAN","NAN","NAN",0.631,0.522
"2019-03-20 01:30:00",11,0.043,"NAN",-0.023,"NAN","NAN","NAN",0.634,0.532
"2019-03-20 02:00:00",12,0.046,"NAN",-0.022,"NAN","NAN","NAN",0.642,0.543
"2019-03-20 02:30:00",13,0.077,"NAN",-0.02,"NAN","NAN","NAN",0.681,0.557
"2019-03-20 03:00:00",14,0.074,"NAN",-0.023,"NAN","NAN","NAN",0.67,0.56
"2019-03-20 03:30:00",15,0.103,"NAN",-0.025,"NAN","NAN","NAN",0.645,0.518
"2019-03-20 04:00:00",16,0.119,"NAN",-0.023,"NAN","NAN","NAN",0.634,0.479
"2019-03-20 04:30:00",17,0.062,"NAN",-0.023,"NAN","NAN","NAN",0.641,0.525
"2019-03-20 05:00:00",18,0.014,"NAN",-0.024,0.099,"NAN","NAN",0.638,0.527
"2019-03-20 05:30:00",19,0.012,"NAN",-0.018,-0.965,"NAN",-1.076,0.646,0.528
"2019-03-20 06:00:00",20,0.014,"NAN",-0.019,-1.036,"NAN",-1.292,0.64,0.528
"2019-03-20 06:30:00",21,0.015,"NAN",-0.021,-0.665,"NAN",-1.755,0.64,0.528
"2019-03-20 07:00:00",22,0.017,"NAN",-0.023,-0.602,"NAN",-1.409,0.641,0.528
"2019-03-20 07:30:00",23,0.018,"NAN",-0.025,"NAN","NAN","NAN",0.638,0.529
"2019-03-20 08:00:00",24,0.019,"NAN",-0.028,"NAN","NAN",-1.34,0.633,0.528
"2019-03-20 08:30:00",25,0.019,"NAN",-0.03,"NAN","NAN","NAN",0.633,0.527
"2019-03-20 09:00:00",26,0.017,"NAN",-0.028,0.535,"NAN","NAN",0.637,0.528
"2019-03-20 09:30:00",27,0.015,"NAN",-0.021,0.047,"NAN","NAN",0.646,0.53
"2019-03-20 10:00:00",28,0.016,"NAN",-0.02,-1.005,"NAN",-0.53,0.643,0.53
"2019-03-20 10:30:00",29,0.016,"NAN",-0.018,-1.148,"NAN",-0.795,0.644,0.53
"2019-03-20 11:00:00",30,0.017,"NAN",-0.021,-1.268,"NAN",-0.746,0.637,0.529
"2019-03-20 11:30:00",31,0.014,"NAN",-0.019,-1.409,"NAN","NAN",0.641,0.529
