DOY,Time,F1,F2,F3,F4,F5,F6,F7,F8
129,1030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
