startDateTime,endDateTime,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF
"2018-05-01T00:00:00Z","2018-05-01T00:30:00Z",-0.15,-0.63,0.94,0.13,1800,0.10,0.01,0,,,,,,,,
"2018-05-01T00:30:00Z","2018-05-01T01:00:00Z",-0.43,-0.63,-0.10,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T01:00:00Z","2018-05-01T01:30:00Z",-0.43,-0.63,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T01:30:00Z","2018-05-01T02:00:00Z",-0.43,-0.70,-0.13,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T02:00:00Z","2018-05-01T02:30:00Z",-0.42,-0.67,-0.10,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T02:30:00Z","2018-05-01T03:00:00Z",-0.44,-0.67,-0.20,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T03:00:00Z","2018-05-01T03:30:00Z",-0.44,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T03:30:00Z","2018-05-01T04:00:00Z",-0.43,-0.67,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T04:00:00Z","2018-05-01T04:30:00Z",-0.44,-0.84,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T04:30:00Z","2018-05-01T05:00:00Z",-0.44,-0.77,-0.03,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T05:00:00Z","2018-05-01T05:30:00Z",-0.44,-0.67,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T05:30:00Z","2018-05-01T06:00:00Z",-0.44,-0.70,-0.20,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T06:00:00Z","2018-05-01T06:30:00Z",-0.44,-0.67,-0.16,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T06:30:00Z","2018-05-01T07:00:00Z",-0.44,-0.73,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-05-01T07:00:00Z","2018-05-01T07:30:00Z",-0.44,-0.67,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
