startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2018-07-01T00:00:00Z","2018-07-01T00:30:00Z",87.26,85.86,88.07,0.36,1713,2.20,0.01,0,26.346,26.053,26.712,0.031,1713,0.190,0.004,0,24.009,23.870,24.132,0.004,1713,0.179,0.002,0
"2018-07-01T00:30:00Z","2018-07-01T01:00:00Z",89.21,88.07,89.92,0.18,1800,2.20,0.01,0,25.668,25.386,26.053,0.056,1800,0.190,0.006,0,23.710,23.458,23.990,0.033,1800,0.176,0.004,0
"2018-07-01T01:00:00Z","2018-07-01T01:30:00Z",89.57,88.42,90.78,0.40,1534,2.20,0.02,0,25.149,24.836,25.386,0.029,1534,0.190,0.004,1,23.264,22.902,23.497,0.035,1534,0.175,0.005,1
"2018-07-01T01:30:00Z","2018-07-01T02:00:00Z",90.84,89.85,91.54,0.17,1504,2.20,0.01,0,24.672,24.420,24.837,0.013,1504,0.190,0.003,1,23.026,22.736,23.145,0.017,1504,0.173,0.003,1
"2018-07-01T02:00:00Z","2018-07-01T02:30:00Z",91.66,90.68,92.22,0.11,1793,2.20,0.01,0,24.164,23.877,24.420,0.028,1793,0.190,0.004,0,22.673,22.446,22.942,0.021,1793,0.172,0.003,0
"2018-07-01T02:30:00Z","2018-07-01T03:00:00Z",90.41,88.25,92.22,1.35,1471,2.20,0.03,0,23.747,23.544,23.883,0.011,1471,0.190,0.003,1,22.035,21.439,22.473,0.088,1471,0.176,0.008,1
"2018-07-01T03:00:00Z","2018-07-01T03:30:00Z",89.77,88.57,90.96,0.38,1709,2.20,0.01,0,23.391,23.234,23.557,0.009,1709,0.190,0.002,0,21.567,21.454,21.652,0.002,1709,0.175,0.001,0
"2018-07-01T03:30:00Z","2018-07-01T04:00:00Z",90.98,90.02,91.96,0.26,1611,2.20,0.01,0,23.188,23.104,23.261,0.003,1611,0.190,0.001,1,21.586,21.467,21.719,0.003,1611,0.172,0.001,1
"2018-07-01T04:00:00Z","2018-07-01T04:30:00Z",91.86,91.06,92.67,0.17,1563,2.20,0.01,0,23.077,22.952,23.151,0.002,1563,0.190,0.001,1,21.635,21.514,21.767,0.005,1563,0.171,0.002,1
"2018-07-01T04:30:00Z","2018-07-01T05:00:00Z",92.90,91.61,93.67,0.38,1731,2.20,0.01,0,22.913,22.813,22.981,0.001,1731,0.190,0.001,0,21.655,21.429,21.826,0.011,1731,0.170,0.003,0
"2018-07-01T05:00:00Z","2018-07-01T05:30:00Z",93.17,92.80,93.79,0.08,1468,2.20,0.01,0,22.782,22.756,22.812,0.000,1468,0.190,0.000,1,21.573,21.493,21.689,0.003,1468,0.168,0.001,1
"2018-07-01T05:30:00Z","2018-07-01T06:00:00Z",93.20,92.85,93.86,0.09,1786,2.20,0.01,0,22.734,22.685,22.790,0.001,1786,0.190,0.001,0,21.531,21.462,21.613,0.001,1786,0.168,0.001,0
"2018-07-01T06:00:00Z","2018-07-01T06:30:00Z",94.02,93.29,94.59,0.14,1441,2.20,0.01,0,22.663,22.625,22.715,0.000,1441,0.190,0.001,1,21.604,21.518,21.710,0.003,1441,0.168,0.001,1
"2018-07-01T06:30:00Z","2018-07-01T07:00:00Z",93.98,93.15,94.66,0.18,1783,2.20,0.01,0,22.600,22.510,22.677,0.002,1783,0.190,0.001,0,21.533,21.342,21.678,0.007,1783,0.168,0.002,0
"2018-07-01T07:00:00Z","2018-07-01T07:30:00Z",93.51,92.42,94.68,0.58,1499,2.20,0.02,0,22.425,22.365,22.514,0.002,1499,0.190,0.001,1,21.277,21.030,21.559,0.030,1499,0.169,0.005,1
"2018-07-01T07:30:00Z","2018-07-01T08:00:00Z",93.54,92.96,94.49,0.15,1728,2.20,0.01,0,22.186,22.019,22.381,0.016,1728,0.190,0.003,0,21.046,20.897,21.203,0.009,1728,0.168,0.002,0
"2018-07-01T08:00:00Z","2018-07-01T08:30:00Z",94.66,94.20,95.32,0.06,1535,2.20,0.01,0,21.827,21.642,22.042,0.021,1535,0.190,0.004,1,20.884,20.723,21.096,0.015,1535,0.166,0.003,1
"2018-07-01T08:30:00Z","2018-07-01T09:00:00Z",95.30,94.91,95.62,0.04,1689,2.20,0.00,0,21.537,21.486,21.661,0.001,1689,0.190,0.001,0,20.706,20.658,20.817,0.000,1689,0.165,0.001,0
"2018-07-01T09:00:00Z","2018-07-01T09:30:00Z",95.38,94.94,95.59,0.03,1543,2.20,0.00,0,21.499,21.437,21.560,0.001,1543,0.190,0.001,1,20.682,20.563,20.759,0.002,1543,0.165,0.001,1
"2018-07-01T09:30:00Z","2018-07-01T10:00:00Z",95.25,94.96,95.51,0.02,1710,2.20,0.00,0,21.293,21.121,21.471,0.011,1710,0.190,0.003,0,20.455,20.305,20.675,0.014,1710,0.165,0.003,0
"2018-07-01T10:00:00Z","2018-07-01T10:30:00Z",95.65,95.39,95.95,0.03,1509,2.20,0.00,0,21.096,21.058,21.163,0.000,1509,0.190,0.001,1,20.327,20.273,20.443,0.002,1509,0.165,0.001,1
"2018-07-01T10:30:00Z","2018-07-01T11:00:00Z",95.72,95.60,95.96,0.01,1742,2.20,0.00,0,21.305,21.163,21.461,0.006,1742,0.190,0.002,0,20.546,20.440,20.694,0.004,1742,0.164,0.002,0
"2018-07-01T11:00:00Z","2018-07-01T11:30:00Z",95.55,95.46,95.67,0.00,1499,2.20,0.00,0,21.573,21.456,21.783,0.008,1499,0.190,0.002,1,20.784,20.656,20.990,0.008,1499,0.165,0.002,1
"2018-07-01T11:30:00Z","2018-07-01T12:00:00Z",95.10,94.67,95.53,0.03,1730,2.20,0.00,0,22.010,21.783,22.258,0.018,1730,0.190,0.003,0,21.142,20.984,21.324,0.013,1730,0.166,0.003,0
"2018-07-01T12:00:00Z","2018-07-01T12:30:00Z",94.53,93.90,94.86,0.04,1557,2.20,0.00,0,22.610,22.259,23.054,0.054,1557,0.190,0.006,1,21.641,21.312,21.972,0.041,1557,0.167,0.005,1
"2018-07-01T12:30:00Z","2018-07-01T13:00:00Z",93.47,92.90,94.05,0.15,1661,2.20,0.01,0,23.598,23.054,23.996,0.076,1661,0.190,0.007,0,22.434,21.971,22.745,0.043,1661,0.168,0.005,0
"2018-07-01T13:00:00Z","2018-07-01T13:30:00Z",92.51,91.80,93.38,0.19,1688,2.20,0.01,0,24.522,23.996,25.061,0.087,1688,0.191,0.007,0,23.179,22.745,23.621,0.049,1688,0.170,0.005,0
"2018-07-01T13:30:00Z","2018-07-01T14:00:00Z",90.72,86.76,92.01,1.46,1389,2.20,0.03,1,25.645,25.061,26.172,0.114,1389,0.191,0.009,1,23.966,23.621,24.314,0.036,1389,0.178,0.005,1
"2018-07-01T14:00:00Z","2018-07-01T14:30:00Z",84.47,82.24,87.97,2.64,1730,2.20,0.04,0,26.675,26.124,27.082,0.079,1730,0.190,0.007,0,23.787,23.438,24.137,0.027,1730,0.186,0.004,0
"2018-07-01T14:30:00Z","2018-07-01T15:00:00Z",85.13,81.04,87.41,2.33,1800,2.20,0.04,0,27.199,26.795,27.687,0.082,1800,0.190,0.007,0,24.431,23.518,24.928,0.098,1800,0.189,0.007,0
"2018-07-01T15:00:00Z","2018-07-01T15:30:00Z",82.40,76.75,85.10,2.84,1714,2.20,0.04,0,28.007,27.687,28.393,0.052,1714,0.190,0.006,0,24.674,23.649,25.290,0.106,1714,0.198,0.008,0
