"TOA5","CR1000-CONTROL","CR1000","86633","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-06-05 10:00:00",1245,0.424,0.487,0.488,0.431,0.444,0.494,0.517,0.543
"2018-06-05 10:30:00",1246,0.417,0.483,0.484,0.427,0.438,0.488,0.49,0.521
"2018-06-05 11:00:00",1247,0.412,0.48,0.48,0.426,0.432,0.482,0.471,0.504
"2018-06-05 11:30:00",1248,0.409,0.479,0.48,0.427,0.427,0.48,0.458,0.498
"2018-06-05 12:00:00",1249,0.407,0.478,0.479,0.427,0.427,0.477,0.45,0.492
"2018-06-05 12:30:00",1250,0.404,0.475,0.477,0.427,0.425,0.473,0.444,0.486
"2018-06-05 13:00:00",1251,0.403,0.474,0.476,0.428,0.423,0.472,0.441,0.484
"2018-06-05 13:30:00",1252,0.402,0.473,0.477,0.427,0.421,0.47,0.441,0.483
"2018-06-05 14:00:00",1253,0.406,0.477,0.481,0.431,0.425,0.473,0.446,0.486
"2018-06-05 14:30:00",1254,0.417,0.484,0.49,0.438,0.434,0.483,0.46,0.498
"2018-06-05 15:00:00",1255,0.411,0.48,0.484,0.434,0.43,0.475,0.457,0.495
"2018-06-05 15:30:00",1256,0.408,0.476,0.478,0.431,0.425,0.469,0.452,0.492
"2018-06-05 16:00:00",1257,0.41,0.479,0.482,0.434,0.428,0.473,0.457,0.496
"2018-06-05 16:30:00",1258,0.418,0.485,0.49,0.44,0.434,0.482,0.47,0.508
"2018-06-05 17:00:00",1259,0.423,0.488,0.489,0.445,0.438,0.485,0.479,0.514
"2018-06-05 17:30:00",1260,0.436,0.499,0.501,0.452,0.45,0.499,0.493,0.527
"2018-06-05 18:00:00",1261,0.462,0.523,0.524,0.479,0.48,0.537,0.516,0.546
"2018-06-05 18:30:00",1262,0.463,0.518,0.517,0.48,0.483,0.531,0.531,0.557
"2018-06-05 19:00:00",1263,0.466,0.512,0.507,0.451,0.469,0.514,0.538,0.565
"2018-06-05 19:30:00",1264,0.486,0.539,0.537,0.494,0.5,0.56,0.553,0.581
"2018-06-05 20:00:00",1265,0.499,0.557,0.558,0.521,0.522,0.578,0.566,0.594
"2018-06-05 20:30:00",1266,0.51,0.57,0.567,0.534,0.539,0.588,0.582,0.605
"2018-06-05 21:00:00",1267,0.516,0.579,0.579,0.547,0.551,0.596,0.594,0.614
"2018-06-05 21:30:00",1268,0.518,0.584,0.58,0.553,0.557,0.597,0.599,0.614
"2018-06-05 22:00:00",1269,0.523,0.588,0.583,0.558,0.56,0.601,0.602,0.618
"2018-06-05 22:30:00",1270,0.526,0.592,0.589,0.562,0.565,0.604,0.609,0.623
"2018-06-05 23:00:00",1271,0.528,0.594,0.596,0.564,0.568,0.604,0.614,0.628
"2018-06-05 23:30:00",1272,0.528,0.596,0.599,0.566,0.571,0.603,0.617,0.631
"2018-06-06 00:00:00",1273,0.529,0.597,0.6,0.567,0.573,0.602,0.62,0.632
"2018-06-06 00:30:00",1274,0.53,0.598,0.601,0.568,0.575,0.602,0.621,0.633
"2018-06-06 01:00:00",1275,0.53,0.598,0.602,0.569,0.576,0.602,0.623,0.634
"2018-06-06 01:30:00",1276,0.531,0.599,0.603,0.569,0.577,0.602,0.625,0.636
"2018-06-06 02:00:00",1277,0.531,0.6,0.604,0.569,0.577,0.601,0.627,0.637
