"TOA5","CR1000-FRESH","CR1000","86614","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","28068","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-09-13 11:30:00",5410,0.45,0.44,0.422,0.364,0.454,0.428,0.475,0.521
"2018-09-13 12:00:00",5411,0.445,0.436,0.418,0.36,0.45,0.422,0.475,0.52
"2018-09-13 12:30:00",5412,0.448,0.44,0.425,0.364,0.457,0.428,0.475,0.521
"2018-09-13 13:00:00",5413,0.44,0.434,0.416,0.357,0.447,0.42,0.474,0.521
"2018-09-13 13:30:00",5414,0.421,0.418,0.397,0.339,0.425,0.397,0.474,0.516
"2018-09-13 14:00:00",5415,0.417,0.417,0.398,0.337,0.424,0.396,0.475,0.513
"2018-09-13 14:30:00",5416,0.415,0.418,0.397,0.337,0.423,0.396,0.476,0.51
"2018-09-13 15:00:00",5417,0.411,0.416,0.394,0.333,0.419,0.391,0.476,0.509
"2018-09-13 15:30:00",5418,0.41,0.415,0.394,0.332,0.418,0.39,0.476,0.504
"2018-09-13 16:00:00",5419,0.409,0.415,0.393,0.331,0.417,0.388,0.476,0.502
"2018-09-13 16:30:00",5420,0.412,0.419,0.398,0.335,0.422,0.393,0.477,0.502
"2018-09-13 17:00:00",5421,0.421,0.427,0.409,0.345,0.432,0.404,0.48,0.505
"2018-09-13 17:30:00",5422,0.426,0.431,0.414,0.351,0.436,0.408,0.481,0.509
"2018-09-13 18:00:00",5423,0.429,0.432,0.417,0.354,0.438,0.41,0.482,0.511
"2018-09-13 18:30:00",5424,0.427,0.431,0.416,0.352,0.434,0.407,0.483,0.513
"2018-09-13 19:00:00",5425,0.429,0.433,0.419,0.355,0.437,0.409,0.485,0.515
"2018-09-13 19:30:00",5426,0.436,0.438,0.429,0.363,0.445,0.416,0.485,0.517
"2018-09-13 20:00:00",5427,0.438,0.44,0.433,0.364,0.444,0.416,0.484,0.518
"2018-09-13 20:30:00",5428,0.442,0.444,0.437,0.369,0.446,0.419,0.489,0.519
"2018-09-13 21:00:00",5429,0.444,0.446,0.44,0.371,0.448,0.42,0.492,0.519
"2018-09-13 21:30:00",5430,0.448,0.447,0.443,0.373,0.452,0.422,0.492,0.518
"2018-09-13 22:00:00",5431,0.451,0.448,0.447,0.374,0.454,0.425,0.493,0.518
"2018-09-13 22:30:00",5432,0.455,0.452,0.453,0.379,0.461,0.43,0.494,0.518
"2018-09-13 23:00:00",5433,0.461,0.457,0.46,0.384,0.47,0.439,0.494,0.519
"2018-09-13 23:30:00",5434,0.465,0.46,0.464,0.387,0.474,0.443,0.495,0.521
"2018-09-14 00:00:00",5435,0.468,0.462,0.466,0.388,0.477,0.445,0.496,0.522
"2018-09-14 00:30:00",5436,0.469,0.463,0.467,0.388,0.476,0.446,0.496,0.521
"2018-09-14 01:00:00",5437,0.47,0.464,0.469,0.387,0.476,0.447,0.497,0.521
"2018-09-14 01:30:00",5438,0.471,0.463,0.468,0.386,0.476,0.446,0.498,0.52
"2018-09-14 02:00:00",5439,0.472,0.463,0.468,0.385,0.476,0.447,0.499,0.52
"2018-09-14 02:30:00",5440,0.473,0.463,0.47,0.386,0.481,0.449,0.499,0.52
"2018-09-14 03:00:00",5441,0.474,0.463,0.47,0.387,0.481,0.449,0.499,0.52
"2018-09-14 03:30:00",5442,0.475,0.463,0.471,0.388,0.484,0.451,0.497,0.52
