"TOA5","CR1000-FRESH","CR1000","86614","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","28068","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-06-05 10:30:00",1243,0.456,0.423,0.359,0.401,0.499,0.455,0.569,0.573
"2018-06-05 11:00:00",1244,0.451,0.421,0.356,0.402,0.495,0.453,0.555,0.542
"2018-06-05 11:30:00",1245,0.451,0.422,0.36,0.404,0.493,0.454,0.538,0.512
"2018-06-05 12:00:00",1246,0.45,0.423,0.362,0.406,0.492,0.456,0.529,0.493
"2018-06-05 12:30:00",1247,0.448,0.423,0.358,0.407,0.49,0.456,0.524,0.482
"2018-06-05 13:00:00",1248,0.447,0.424,0.362,0.409,0.489,0.456,0.522,0.48
"2018-06-05 13:30:00",1249,0.446,0.426,0.36,0.41,0.488,0.457,0.519,0.479
"2018-06-05 14:00:00",1250,0.45,0.43,0.374,0.415,0.491,0.462,0.52,0.487
"2018-06-05 14:30:00",1251,0.459,0.436,0.396,0.423,0.5,0.471,0.524,0.507
"2018-06-05 15:00:00",1252,0.454,0.434,0.379,0.421,0.493,0.467,0.525,0.504
"2018-06-05 15:30:00",1253,0.45,0.432,0.372,0.418,0.488,0.465,0.523,0.5
"2018-06-05 16:00:00",1254,0.453,0.434,0.38,0.422,0.491,0.468,0.524,0.502
"2018-06-05 16:30:00",1255,0.459,0.439,0.401,0.43,0.497,0.475,0.528,0.517
"2018-06-05 17:00:00",1256,0.464,0.443,0.403,0.435,0.501,0.479,0.535,0.523
"2018-06-05 17:30:00",1257,0.478,0.45,0.423,0.446,0.509,0.488,0.541,0.54
"2018-06-05 18:00:00",1258,0.516,0.466,0.448,0.466,0.531,0.513,0.55,0.562
"2018-06-05 18:30:00",1259,0.505,0.469,0.446,0.467,0.525,0.516,0.559,0.577
"2018-06-05 19:00:00",1260,0.511,0.46,0.436,0.45,0.514,0.502,0.566,0.586
"2018-06-05 19:30:00",1261,0.539,0.478,0.475,0.474,0.548,0.532,0.574,0.599
"2018-06-05 20:00:00",1262,0.558,0.49,0.499,0.49,0.568,0.551,0.582,0.609
"2018-06-05 20:30:00",1263,0.571,0.499,0.521,0.497,0.58,0.563,0.59,0.619
"2018-06-05 21:00:00",1264,0.58,0.505,0.536,0.502,0.59,0.571,0.595,0.624
"2018-06-05 21:30:00",1265,0.584,0.506,0.54,0.5,0.597,0.572,0.602,0.627
"2018-06-05 22:00:00",1266,0.588,0.505,0.561,0.498,0.601,0.573,0.605,0.63
"2018-06-05 22:30:00",1267,0.591,0.508,0.568,0.498,0.605,0.578,0.608,0.633
"2018-06-05 23:00:00",1268,0.592,0.51,0.573,0.497,0.608,0.58,0.61,0.635
"2018-06-05 23:30:00",1269,0.594,0.51,0.575,0.498,0.61,0.58,0.61,0.637
"2018-06-06 00:00:00",1270,0.595,0.511,0.577,0.499,0.611,0.58,0.61,0.637
"2018-06-06 00:30:00",1271,0.595,0.511,0.579,0.499,0.611,0.58,0.609,0.639
"2018-06-06 01:00:00",1272,0.595,0.511,0.581,0.499,0.612,0.579,0.608,0.639
"2018-06-06 01:30:00",1273,0.596,0.511,0.583,0.499,0.612,0.579,0.608,0.64
"2018-06-06 02:00:00",1274,0.596,0.511,0.583,0.498,0.612,0.578,0.61,0.641
"2018-06-06 02:30:00",1275,0.596,0.511,0.582,0.497,0.613,0.578,0.61,0.642
