"TOA5","CR1000-SALT","CR1000","86631","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-09-13 11:30:00",5420,0.511,0.421,0.373,0.457,0.344,0.411,0.567,0.62
"2018-09-13 12:00:00",5421,0.506,0.417,0.371,0.453,0.338,0.405,0.562,0.617
"2018-09-13 12:30:00",5422,0.508,0.42,0.38,0.455,0.34,0.413,0.562,0.619
"2018-09-13 13:00:00",5423,0.503,0.413,0.363,0.448,0.334,0.392,0.558,0.616
"2018-09-13 13:30:00",5424,0.49,0.396,0.345,0.43,0.315,0.367,0.547,0.614
"2018-09-13 14:00:00",5425,0.49,0.394,0.348,0.433,0.31,0.371,0.544,0.614
"2018-09-13 14:30:00",5426,0.492,0.394,0.349,0.435,0.31,0.37,0.544,0.616
"2018-09-13 15:00:00",5427,0.49,0.39,0.343,0.431,0.305,0.362,0.537,0.615
"2018-09-13 15:30:00",5428,0.489,0.389,0.344,0.43,0.304,0.363,0.533,0.613
"2018-09-13 16:00:00",5429,0.487,0.388,0.342,0.427,0.303,0.359,0.53,0.611
"2018-09-13 16:30:00",5430,0.49,0.391,0.348,0.431,0.308,0.366,0.534,0.613
"2018-09-13 17:00:00",5431,0.498,0.401,0.358,0.441,0.318,0.38,0.544,0.618
"2018-09-13 17:30:00",5432,0.501,0.406,0.362,0.446,0.325,0.386,0.549,0.618
"2018-09-13 18:00:00",5433,0.502,0.409,0.364,0.447,0.328,0.39,0.553,0.618
"2018-09-13 18:30:00",5434,0.502,0.407,0.36,0.446,0.326,0.386,0.557,0.617
"2018-09-13 19:00:00",5435,0.504,0.408,0.362,0.448,0.327,0.388,0.558,0.619
"2018-09-13 19:30:00",5436,0.507,0.416,0.373,0.453,0.336,0.402,0.558,0.617
"2018-09-13 20:00:00",5437,0.508,0.42,0.374,0.453,0.341,0.407,0.56,0.614
"2018-09-13 20:30:00",5438,0.512,0.424,0.378,0.455,0.345,0.414,0.565,0.616
"2018-09-13 21:00:00",5439,0.515,0.426,0.382,0.457,0.348,0.422,0.566,0.616
"2018-09-13 21:30:00",5440,0.515,0.428,0.385,0.456,0.351,0.426,0.562,0.611
"2018-09-13 22:00:00",5441,0.517,0.429,0.388,0.457,0.353,0.431,0.561,0.609
"2018-09-13 22:30:00",5442,0.521,0.43,0.4,0.461,0.357,0.442,0.563,0.611
"2018-09-13 23:00:00",5443,0.526,0.432,0.409,0.466,0.361,0.452,0.564,0.611
"2018-09-13 23:30:00",5444,0.529,0.432,0.415,0.469,0.364,0.458,0.566,0.614
"2018-09-14 00:00:00",5445,0.532,0.432,0.418,0.471,0.365,0.463,0.568,0.615
"2018-09-14 00:30:00",5446,0.533,0.432,0.418,0.472,0.366,0.465,0.569,0.615
"2018-09-14 01:00:00",5447,0.534,0.433,0.418,0.472,0.366,0.465,0.567,0.614
"2018-09-14 01:30:00",5448,0.534,0.432,0.418,0.473,0.367,0.466,0.568,0.615
"2018-09-14 02:00:00",5449,0.534,0.431,0.418,0.473,0.367,0.467,0.568,0.614
"2018-09-14 02:30:00",5450,0.534,0.432,0.421,0.473,0.368,0.469,0.568,0.614
"2018-09-14 03:00:00",5451,0.534,0.431,0.423,0.473,0.369,0.47,0.567,0.615
"2018-09-14 03:30:00",5452,0.535,0.431,0.425,0.474,0.37,0.471,0.568,0.614
