"TOA5","CR1000-SALT","CR1000","86631","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-07-09 11:00:00",2880,0.407,0.387,0.439,0.353,0.268,0.403,0.524,0.609
"2018-07-09 11:30:00",2881,0.404,0.386,0.438,0.353,0.267,0.402,0.515,0.604
"2018-07-09 12:00:00",2882,0.403,0.385,0.435,0.351,0.265,0.401,0.507,0.595
"2018-07-09 12:30:00",2883,0.404,0.386,0.437,0.354,0.263,0.4,0.505,0.591
"2018-07-09 13:00:00",2884,0.409,0.387,0.437,0.356,0.262,0.4,0.504,0.589
"2018-07-09 13:30:00",2885,0.413,0.388,0.436,0.359,0.262,0.4,0.503,0.588
"2018-07-09 14:00:00",2886,0.416,0.391,0.434,0.362,0.262,0.4,0.506,0.588
"2018-07-09 14:30:00",2887,0.418,0.394,0.434,0.365,0.263,0.401,0.509,0.592
"2018-07-09 15:00:00",2888,0.418,0.396,0.434,0.365,0.264,0.401,0.51,0.593
"2018-07-09 15:30:00",2889,0.419,0.399,0.435,0.368,0.265,0.4,0.515,0.596
"2018-07-09 16:00:00",2890,0.42,0.4,0.437,0.368,0.265,0.4,0.516,0.597
"2018-07-09 16:30:00",2891,0.422,0.402,0.438,0.37,0.265,0.401,0.519,0.598
"2018-07-09 17:00:00",2892,0.424,0.406,0.441,0.373,0.267,0.401,0.526,0.603
"2018-07-09 17:30:00",2893,0.426,0.411,0.442,0.374,0.271,0.402,0.533,0.606
"2018-07-09 18:00:00",2894,0.43,0.418,0.446,0.377,0.279,0.405,0.543,0.612
"2018-07-09 18:30:00",2895,0.436,0.429,0.452,0.379,0.291,0.407,0.552,0.614
"2018-07-09 19:00:00",2896,0.445,0.446,0.462,0.384,0.311,0.411,0.564,0.616
"2018-07-09 19:30:00",2897,0.462,0.467,0.476,0.391,0.333,0.417,0.577,0.618
"2018-07-09 20:00:00",2898,0.486,0.483,0.498,0.402,0.348,0.431,0.589,0.62
"2018-07-09 20:30:00",2899,0.513,0.495,0.527,0.418,0.359,0.465,0.605,0.622
"2018-07-09 21:00:00",2900,0.531,0.503,0.551,0.431,0.366,0.504,0.618,0.624
"2018-07-09 21:30:00",2901,0.539,0.507,0.564,0.437,0.37,0.527,0.625,0.627
"2018-07-09 22:00:00",2902,0.539,0.508,0.572,0.44,0.373,0.538,0.63,0.63
"2018-07-09 22:30:00",2903,0.538,0.508,0.577,0.441,0.375,0.543,0.632,0.632
"2018-07-09 23:00:00",2904,0.536,0.509,0.581,0.441,0.377,0.549,0.634,0.634
"2018-07-09 23:30:00",2905,0.537,0.509,0.584,0.44,0.378,0.551,0.634,0.636
"2018-07-10 00:00:00",2906,0.536,0.508,0.586,0.44,0.379,0.552,0.636,0.637
"2018-07-10 00:30:00",2907,0.536,0.508,0.587,0.441,0.38,0.554,0.638,0.639
"2018-07-10 01:00:00",2908,0.536,0.508,0.588,0.441,0.381,0.555,0.638,0.64
"2018-07-10 01:30:00",2909,0.536,0.507,0.588,0.441,0.381,0.555,0.639,0.641
"2018-07-10 02:00:00",2910,0.536,0.504,0.589,0.442,0.381,0.554,0.639,0.64
"2018-07-10 02:30:00",2911,0.536,0.501,0.588,0.442,0.382,0.553,0.64,0.639
"2018-07-10 03:00:00",2912,0.535,0.499,0.587,0.442,0.382,0.553,0.641,0.638
