"TOA5","CR1000-SHORE","CR1000","86619","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","2121","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)"
"TS","RN","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-09-13 12:00:00",5881,0.456,0.57,0.528,0.624,0.442,0.601
"2018-09-13 12:30:00",5882,0.458,0.57,0.53,0.625,0.441,0.608
"2018-09-13 13:00:00",5883,0.451,0.569,0.527,0.623,0.438,0.599
"2018-09-13 13:30:00",5884,0.429,0.563,0.512,0.615,0.426,0.569
"2018-09-13 14:00:00",5885,0.424,0.559,0.504,0.612,0.421,0.562
"2018-09-13 14:30:00",5886,0.418,0.556,0.497,0.61,0.419,0.556
"2018-09-13 15:00:00",5887,0.409,0.551,0.49,0.606,0.413,0.545
"2018-09-13 15:30:00",5888,0.406,0.547,0.486,0.604,0.41,0.545
"2018-09-13 16:00:00",5889,0.404,0.543,0.483,0.602,0.406,0.545
"2018-09-13 16:30:00",5890,0.411,0.544,0.485,0.605,0.409,0.553
"2018-09-13 17:00:00",5891,0.424,0.549,0.495,0.614,0.42,0.568
"2018-09-13 17:30:00",5892,0.435,0.552,0.503,0.618,0.424,0.578
"2018-09-13 18:00:00",5893,0.442,0.553,0.509,0.621,0.428,0.583
"2018-09-13 18:30:00",5894,0.44,0.553,0.511,0.621,0.43,0.579
"2018-09-13 19:00:00",5895,0.447,0.554,0.515,0.624,0.433,0.584
"2018-09-13 19:30:00",5896,0.462,0.561,0.523,0.627,0.442,0.6
"2018-09-13 20:00:00",5897,0.469,0.564,0.527,0.626,0.446,0.611
"2018-09-13 20:30:00",5898,0.474,0.567,0.529,0.627,0.453,0.617
"2018-09-13 21:00:00",5899,0.478,0.568,0.53,0.628,0.461,0.62
"2018-09-13 21:30:00",5900,0.479,0.568,0.53,0.626,0.462,0.624
"2018-09-13 22:00:00",5901,0.478,0.568,0.532,0.626,0.464,0.627
"2018-09-13 22:30:00",5902,0.483,0.569,0.532,0.627,0.469,0.633
"2018-09-13 23:00:00",5903,0.485,0.569,0.534,0.627,0.471,0.639
