"TOA5","CR1000-SHORE","CR1000","86619","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","2121","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)"
"TS","RN","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-06-21 17:30:00",2029,0.43,0.498,0.461,0.567,0.498,0.493
"2018-06-21 18:00:00",2030,0.45,0.504,0.477,0.577,0.501,0.509
"2018-06-21 18:30:00",2031,0.467,0.508,0.488,0.583,0.506,0.524
"2018-06-21 19:00:00",2032,0.485,0.522,0.503,0.594,0.523,0.54
"2018-06-21 19:30:00",2033,0.501,0.539,0.52,0.607,0.541,0.557
"2018-06-21 20:00:00",2034,0.519,0.559,0.54,0.621,0.562,0.585
"2018-06-21 20:30:00",2035,0.532,0.574,0.553,0.63,0.576,0.605
"2018-06-21 21:00:00",2036,0.543,0.583,0.561,0.636,0.585,0.619
"2018-06-21 21:30:00",2037,0.55,0.588,0.566,0.639,0.59,0.627
"2018-06-21 22:00:00",2038,0.555,0.591,0.57,0.642,0.594,0.632
"2018-06-21 22:30:00",2039,0.558,0.593,0.572,0.643,0.596,0.635
"2018-06-21 23:00:00",2040,0.561,0.595,0.573,0.644,0.598,0.637
"2018-06-21 23:30:00",2041,0.562,0.596,0.574,0.643,0.599,0.636
"2018-06-22 00:00:00",2042,0.563,0.596,0.575,0.645,0.601,0.636
"2018-06-22 00:30:00",2043,0.562,0.597,0.576,0.645,0.602,0.636
"2018-06-22 01:00:00",2044,0.561,0.597,0.576,0.646,0.602,0.636
"2018-06-22 01:30:00",2045,0.56,0.597,0.576,0.646,0.602,0.635
"2018-06-22 02:00:00",2046,0.557,0.597,0.577,0.649,0.603,0.635
"2018-06-22 02:30:00",2047,0.558,0.598,0.576,0.648,0.603,0.635
"2018-06-22 03:00:00",2048,0.559,0.598,0.577,0.65,0.603,0.636
"2018-06-22 03:30:00",2049,0.556,0.597,0.577,0.651,0.603,0.635
"2018-06-22 04:00:00",2050,0.554,0.598,0.576,0.651,0.603,0.634
"2018-06-22 04:30:00",2051,0.548,0.598,0.576,0.652,0.604,0.632
