Plot,Tree_Number,DBH_cm,Species,Tag,Installation_Date,Notes
Freshwater,1,66.4,LITU,,5/10/2018,
Freshwater,2,68,LITU,,5/10/2018,
Freshwater,3,65.2,LITU,,5/10/2018,
Freshwater,4,54.8,LITU,,5/10/2018,
Freshwater,5,78.2,LITU,,5/10/2018,
Freshwater,6,51.5,LITU,,5/10/2018,
Freshwater,7,25.6,ACRU,,5/10/2018,
Freshwater,8,26.2,ACRU,,5/10/2018,
Freshwater,9,,ACRU,,8/8/2019,
Freshwater,10,,ACRU,,8/8/2019,
Freshwater,11,,ACRU,,8/8/2019,
Freshwater,12,,ACRU,,8/8/2019,
Freshwater,13,,FAGR,,8/8/2019,
Freshwater,14,,FAGR,,8/8/2019,
Freshwater,15,,FAGR,,8/8/2019,
Freshwater,16,,FAGR,,8/8/2019,
Freshwater,17,,FAGR,,8/8/2019,
Freshwater,18,,FAGR,,8/8/2019,
Seawater,1,50,LITU,,5/10/2018,
Seawater,2,61.1,LITU,,5/10/2018,
Seawater,3,36.9,LITU,,5/10/2018,
Seawater,4,49.9,LITU,,5/10/2018,
Seawater,5,44.2,LITU,,5/10/2018,
Seawater,6,49.5,LITU,,5/10/2018,
Seawater,7,24.3,ACRU,,5/10/2018,
Seawater,8,29.2,ACRU,,5/10/2018,
Seawater,9,,ACRU,,8/8/2019,
Seawater,10,,ACRU,,8/8/2019,
Seawater,11,,ACRU,,8/8/2019,
Seawater,12,,ACRU,,8/8/2019,
Seawater,13,,FAGR,,8/8/2019,
Seawater,14,,FAGR,,8/8/2019,
Seawater,15,,FAGR,,8/8/2019,
Seawater,16,,FAGR,,8/8/2019,
Seawater,17,,FAGR,,8/8/2019,
Seawater,18,,FAGR,,8/8/2019,
Control,1,46.2,LITU,,5/10/2018,
Control,2,39.4,LITU,,5/10/2018,
Control,3,45.5,LITU,,5/10/2018,
Control,4,47.5,LITU,,5/10/2018,
Control,5,40,LITU,,5/10/2018,
Control,6,58.2,LITU,,5/10/2018,
Control,7,31.8,ACRU,,5/10/2018,
Control,8,25.9,ACRU,,5/10/2018,
Control,9,,ACRU,,8/8/2019,
Control,10,,ACRU,,8/8/2019,
Control,11,,ACRU,,8/8/2019,
Control,12,,ACRU,,8/8/2019,
Control,13,,FAGR,,8/8/2019,
Control,14,,FAGR,,8/8/2019,
Control,15,,FAGR,,8/8/2019,
Control,16,,FAGR,,8/8/2019,
Control,17,,FAGR,,8/8/2019,
Control,18,,FAGR,,8/8/2019,
Shore,1,25.9,ACRU,,5/10/2018,
Shore,2,21,ACRU,,5/10/2018,
Shore,3,35.2,ACRU,,5/10/2018,
Shore,4,14,ACRU,,5/10/2018,
Shore,5,22,ACRU,,5/10/2018,
Shore,6,14.6,ACRU,,5/10/2018,
