"TOA5","CR1000-CONTROL","CR1000","86633","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-09-13 11:30:00",5388,0.335,0.416,0.398,0.431,0.436,0.399,0.583,0.466
"2018-09-13 12:00:00",5389,0.332,0.411,0.394,0.427,0.429,0.394,0.579,0.466
"2018-09-13 12:30:00",5390,0.343,0.419,0.4,0.438,0.437,0.4,0.579,0.469
"2018-09-13 13:00:00",5391,0.327,0.407,0.394,0.421,0.425,0.388,0.577,0.47
"2018-09-13 13:30:00",5392,0.303,0.385,0.375,0.393,0.396,0.364,0.566,0.465
"2018-09-13 14:00:00",5393,0.301,0.384,0.373,0.392,0.392,0.364,0.559,0.463
"2018-09-13 14:30:00",5394,0.301,0.383,0.372,0.391,0.392,0.363,0.552,0.46
"2018-09-13 15:00:00",5395,0.296,0.378,0.37,0.384,0.385,0.358,0.549,0.461
"2018-09-13 15:30:00",5396,0.295,0.378,0.368,0.385,0.384,0.357,0.54,0.456
"2018-09-13 16:00:00",5397,0.294,0.377,0.367,0.385,0.383,0.357,0.536,0.455
"2018-09-13 16:30:00",5398,0.299,0.381,0.372,0.39,0.389,0.362,0.536,0.455
"2018-09-13 17:00:00",5399,0.31,0.391,0.381,0.403,0.403,0.374,0.541,0.461
"2018-09-13 17:30:00",5400,0.314,0.397,0.385,0.41,0.411,0.38,0.546,0.464
"2018-09-13 18:00:00",5401,0.316,0.398,0.387,0.413,0.414,0.383,0.55,0.468
"2018-09-13 18:30:00",5402,0.311,0.395,0.385,0.409,0.411,0.38,0.551,0.47
"2018-09-13 19:00:00",5403,0.315,0.398,0.387,0.414,0.416,0.384,0.553,0.472
"2018-09-13 19:30:00",5404,0.323,0.406,0.393,0.426,0.426,0.394,0.557,0.475
"2018-09-13 20:00:00",5405,0.322,0.409,0.394,0.431,0.43,0.397,0.561,0.479
"2018-09-13 20:30:00",5406,0.325,0.412,0.396,0.437,0.434,0.4,0.566,0.481
"2018-09-13 21:00:00",5407,0.327,0.415,0.397,0.441,0.438,0.404,0.57,0.482
"2018-09-13 21:30:00",5408,0.33,0.418,0.399,0.448,0.442,0.408,0.571,0.482
"2018-09-13 22:00:00",5409,0.332,0.421,0.4,0.454,0.445,0.411,0.573,0.483
"2018-09-13 22:30:00",5410,0.341,0.428,0.405,0.464,0.451,0.418,0.574,0.484
"2018-09-13 23:00:00",5411,0.354,0.438,0.412,0.477,0.462,0.427,0.575,0.484
"2018-09-13 23:30:00",5412,0.359,0.443,0.416,0.485,0.468,0.432,0.577,0.486
"2018-09-14 00:00:00",5413,0.362,0.446,0.418,0.489,0.47,0.435,0.579,0.487
"2018-09-14 00:30:00",5414,0.361,0.447,0.418,0.491,0.471,0.436,0.58,0.487
"2018-09-14 01:00:00",5415,0.362,0.448,0.419,0.492,0.472,0.437,0.582,0.49
"2018-09-14 01:30:00",5416,0.361,0.448,0.417,0.493,0.47,0.437,0.581,0.489
"2018-09-14 02:00:00",5417,0.362,0.448,0.416,0.495,0.47,0.438,0.581,0.49
"2018-09-14 02:30:00",5418,0.368,0.452,0.418,0.498,0.471,0.44,0.581,0.49
"2018-09-14 03:00:00",5419,0.37,0.453,0.418,0.499,0.472,0.441,0.581,0.489
"2018-09-14 03:30:00",5420,0.374,0.456,0.42,0.501,0.473,0.443,0.58,0.489
