"TOA5","CR1000-CONTROL","CR1000","86633","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-06-21 17:30:00",2028,0.457,0.462,0.48,0.434,0.429,0.466,0.502,0.528
"2018-06-21 18:00:00",2029,0.463,0.468,0.488,0.44,0.437,0.476,0.512,0.54
"2018-06-21 18:30:00",2030,0.467,0.474,0.493,0.448,0.443,0.485,0.528,0.551
"2018-06-21 19:00:00",2031,0.477,0.488,0.507,0.463,0.46,0.506,0.552,0.569
"2018-06-21 19:30:00",2032,0.498,0.506,0.525,0.485,0.486,0.535,0.573,0.584
"2018-06-21 20:00:00",2033,0.52,0.526,0.544,0.512,0.51,0.559,0.59,0.595
"2018-06-21 20:30:00",2034,0.533,0.537,0.554,0.524,0.525,0.569,0.601,0.602
"2018-06-21 21:00:00",2035,0.548,0.548,0.564,0.532,0.538,0.577,0.608,0.607
"2018-06-21 21:30:00",2036,0.559,0.556,0.573,0.536,0.549,0.581,0.614,0.609
"2018-06-21 22:00:00",2037,0.568,0.561,0.579,0.538,0.556,0.582,0.618,0.612
"2018-06-21 22:30:00",2038,0.575,0.56,0.585,0.54,0.562,0.582,0.621,0.613
"2018-06-21 23:00:00",2039,0.576,0.555,0.587,0.54,0.565,0.582,0.624,0.614
"2018-06-21 23:30:00",2040,0.574,0.549,0.588,0.538,0.566,0.581,0.625,0.615
"2018-06-22 00:00:00",2041,0.573,0.545,0.589,0.537,0.566,0.581,0.626,0.616
"2018-06-22 00:30:00",2042,0.571,0.543,0.59,0.537,0.566,0.58,0.626,0.616
"2018-06-22 01:00:00",2043,0.569,0.541,0.59,0.537,0.566,0.58,0.627,0.618
"2018-06-22 01:30:00",2044,0.568,0.54,0.59,0.537,0.566,0.58,0.627,0.618
"2018-06-22 02:00:00",2045,0.569,0.539,0.59,0.538,0.566,0.581,0.626,0.618
"2018-06-22 02:30:00",2046,0.57,0.539,0.59,0.538,0.567,0.581,0.627,0.619
"2018-06-22 03:00:00",2047,0.572,0.54,0.592,0.539,0.568,0.581,0.627,0.619
"2018-06-22 03:30:00",2048,0.571,0.54,0.591,0.539,0.569,0.582,0.626,0.62
"2018-06-22 04:00:00",2049,0.564,0.536,0.589,0.539,0.566,0.582,0.626,0.62
"2018-06-22 04:30:00",2050,0.557,0.533,0.587,0.539,0.563,0.584,0.626,0.622
"2018-06-22 05:00:00",2051,0.545,0.525,0.581,0.54,0.555,0.586,0.627,0.623
"2018-06-22 05:30:00",2052,0.533,0.517,0.573,0.54,0.541,0.588,0.628,0.625
"2018-06-22 06:00:00",2053,0.519,0.503,0.56,0.539,0.524,0.586,0.627,0.625
"2018-06-22 06:30:00",2054,0.501,0.48,0.537,0.528,0.503,0.563,0.626,0.625
"2018-06-22 07:00:00",2055,0.497,0.474,0.525,0.506,0.495,0.548,0.62,0.622
"2018-06-22 07:30:00",2056,0.494,0.473,0.52,0.492,0.491,0.542,0.613,0.616
"2018-06-22 08:00:00",2057,0.499,0.478,0.522,0.49,0.496,0.544,0.608,0.607
"2018-06-22 08:30:00",2058,0.529,0.502,0.544,0.515,0.522,0.562,0.606,0.607
"2018-06-22 09:00:00",2059,0.544,0.514,0.556,0.529,0.538,0.57,0.603,0.604
"2018-06-22 09:30:00",2060,0.559,0.522,0.566,0.535,0.55,0.575,0.601,0.604
