"TOA5","CR1000-FRESH","CR1000","86614","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","28068","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-06-21 17:30:00",2025,0.436,0.402,"NAN",0.361,0.505,0.43,0.541,0.558
"2018-06-21 18:00:00",2026,0.445,0.407,"NAN",0.368,0.512,0.444,0.547,0.57
"2018-06-21 18:30:00",2027,0.453,0.412,"NAN",0.375,0.518,0.453,0.554,0.589
"2018-06-21 19:00:00",2028,0.467,0.421,"NAN",0.389,0.53,0.467,0.562,0.607
"2018-06-21 19:30:00",2029,0.486,0.433,"NAN",0.402,0.543,0.486,0.566,0.62
"2018-06-21 20:00:00",2030,0.507,0.447,"NAN",0.416,0.563,0.494,0.57,0.63
"2018-06-21 20:30:00",2031,0.52,0.456,"NAN",0.426,0.577,0.5,0.573,0.635
"2018-06-21 21:00:00",2032,0.53,0.462,"NAN",0.433,0.588,0.499,0.577,0.639
"2018-06-21 21:30:00",2033,0.537,0.466,"NAN",0.437,0.595,0.487,0.58,0.641
"2018-06-21 22:00:00",2034,0.54,0.467,"NAN",0.441,0.6,0.481,0.583,0.643
"2018-06-21 22:30:00",2035,0.542,0.468,"NAN",0.443,0.602,0.478,0.584,0.644
"2018-06-21 23:00:00",2036,0.543,0.468,"NAN",0.444,0.603,0.476,0.583,0.645
"2018-06-21 23:30:00",2037,0.544,0.468,"NAN",0.445,0.604,0.474,0.581,0.646
"2018-06-22 00:00:00",2038,0.544,0.468,"NAN",0.445,0.604,0.473,0.582,0.646
"2018-06-22 00:30:00",2039,0.544,0.468,"NAN",0.444,0.604,0.473,0.582,0.647
"2018-06-22 01:00:00",2040,0.544,0.468,"NAN",0.444,0.604,0.475,0.582,0.647
"2018-06-22 01:30:00",2041,0.545,0.467,"NAN",0.443,0.605,0.478,0.582,0.648
"2018-06-22 02:00:00",2042,0.545,0.466,"NAN",0.443,0.605,0.478,0.583,0.648
"2018-06-22 02:30:00",2043,0.546,0.466,"NAN",0.443,0.605,0.477,0.583,0.648
"2018-06-22 03:00:00",2044,0.546,0.466,"NAN",0.443,0.605,0.475,0.584,0.648
"2018-06-22 03:30:00",2045,0.546,0.466,"NAN",0.443,0.605,0.474,0.584,0.649
"2018-06-22 04:00:00",2046,0.546,0.465,"NAN",0.441,0.605,0.474,0.584,0.649
"2018-06-22 04:30:00",2047,0.547,0.464,"NAN",0.439,0.604,0.473,0.586,0.649
"2018-06-22 05:00:00",2048,0.546,0.464,"NAN",0.435,0.602,0.473,0.59,0.651
"2018-06-22 05:30:00",2049,0.546,0.463,"NAN",0.431,0.599,0.473,0.592,0.651
"2018-06-22 06:00:00",2050,0.541,0.46,"NAN",0.425,0.592,0.471,0.592,0.652
"2018-06-22 06:30:00",2051,0.514,0.448,"NAN",0.416,0.572,0.464,0.593,0.651
"2018-06-22 07:00:00",2052,0.497,0.436,"NAN",0.41,0.559,0.449,0.59,0.648
"2018-06-22 07:30:00",2053,0.489,0.429,"NAN",0.407,0.554,0.437,0.588,0.644
"2018-06-22 08:00:00",2054,0.49,0.428,"NAN",0.408,0.556,0.434,0.588,0.641
"2018-06-22 08:30:00",2055,0.51,0.437,"NAN",0.419,0.576,0.447,0.586,0.639
"2018-06-22 09:00:00",2056,0.519,0.444,"NAN",0.427,0.586,0.455,0.585,0.637
"2018-06-22 09:30:00",2057,0.527,0.448,"NAN",0.431,0.593,0.461,0.582,0.635
