"TOA5","CR1000-SALT","CR1000","86631","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","8974","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-31 12:30:00",4798,0.478,0.363,0.304,0.357,0.276,0.323,0.474,0.599
"2018-08-31 13:00:00",4799,0.489,0.368,0.304,0.362,0.279,0.323,0.479,0.614
"2018-08-31 13:30:00",4800,0.49,0.366,0.302,0.36,0.275,0.321,0.474,0.612
"2018-08-31 14:00:00",4801,0.493,0.367,0.303,0.362,0.272,0.321,0.474,0.611
"2018-08-31 14:30:00",4802,0.494,0.366,0.301,0.36,0.269,0.319,0.472,0.61
"2018-08-31 15:00:00",4803,0.496,0.37,0.303,0.362,0.27,0.32,0.475,0.611
"2018-08-31 15:30:00",4804,0.499,0.373,0.305,0.364,0.272,0.322,0.479,0.612
"2018-08-31 16:00:00",4805,0.501,0.377,0.305,0.364,0.273,0.321,0.485,0.615
"2018-08-31 16:30:00",4806,0.501,0.382,0.307,0.365,0.275,0.321,0.487,0.614
"2018-08-31 17:00:00",4807,0.504,0.392,0.314,0.371,0.283,0.326,0.499,0.618
"2018-08-31 17:30:00",4808,0.523,0.419,0.339,0.396,0.313,0.352,0.525,0.625
"2018-08-31 18:00:00",4809,0.526,0.429,0.342,0.399,0.325,0.353,0.539,0.63
"2018-08-31 18:30:00",4810,0.529,0.435,0.349,0.4,0.324,0.361,0.544,0.632
"2018-08-31 19:00:00",4811,0.533,0.441,0.359,0.403,0.336,0.374,0.538,0.621
"2018-08-31 19:30:00",4812,0.545,0.453,0.379,0.416,0.351,0.405,0.545,0.618
"2018-08-31 20:00:00",4813,0.556,0.461,0.394,0.425,0.361,0.429,0.555,0.621
"2018-08-31 20:30:00",4814,0.566,0.466,0.404,0.433,0.367,0.444,0.562,0.626
"2018-08-31 21:00:00",4815,0.572,0.47,0.411,0.44,0.37,0.453,0.57,0.63
"2018-08-31 21:30:00",4816,0.577,0.474,0.419,0.446,0.372,0.459,0.577,0.634
"2018-08-31 22:00:00",4817,0.579,0.472,0.422,0.448,0.373,0.46,0.574,0.632
"2018-08-31 22:30:00",4818,0.576,0.466,0.418,0.44,0.374,0.457,0.559,0.62
"2018-08-31 23:00:00",4819,0.586,0.472,0.428,0.446,0.381,0.462,0.578,0.633
"2018-08-31 23:30:00",4820,0.589,0.474,0.432,0.445,0.381,0.462,0.585,0.64
"2018-09-01 00:00:00",4821,0.59,0.471,0.432,0.444,0.381,0.46,0.589,0.64
"2018-09-01 00:30:00",4822,0.59,0.462,0.432,0.443,0.38,0.457,0.591,0.642
"2018-09-01 01:00:00",4823,0.589,0.456,0.432,0.441,0.379,0.457,0.59,0.644
"2018-09-01 01:30:00",4824,0.588,0.452,0.434,0.44,0.377,0.457,0.589,0.643
"2018-09-01 02:00:00",4825,0.585,0.445,0.433,0.434,0.376,0.457,0.58,0.64
"2018-09-01 02:30:00",4826,0.584,0.444,0.434,0.432,0.375,0.457,0.582,0.64
"2018-09-01 03:00:00",4827,0.582,0.441,0.433,0.431,0.375,0.458,0.579,0.638
"2018-09-01 03:30:00",4828,0.581,0.44,0.433,0.43,0.374,0.457,0.577,0.636
"2018-09-01 04:00:00",4829,0.58,0.441,0.433,0.433,0.374,0.458,0.578,0.636
"2018-09-01 04:30:00",4830,0.575,0.439,0.432,0.429,0.373,0.458,0.574,0.634
