"TOA5","CR1000-SHORE","CR1000","86619","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","2121","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)"
"TS","RN","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-01 12:30:00",3987,0.371,0.514,0.456,0.584,0.43,0.516
"2018-08-01 13:00:00",3988,0.359,0.502,0.446,0.58,0.416,0.501
"2018-08-01 13:30:00",3989,0.348,0.487,0.435,0.572,0.401,0.484
"2018-08-01 14:00:00",3990,0.345,0.479,0.432,0.568,0.39,0.476
"2018-08-01 14:30:00",3991,0.35,0.476,0.427,0.564,0.388,0.479
"2018-08-01 15:00:00",3992,0.365,0.484,0.435,0.572,0.396,0.495
"2018-08-01 15:30:00",3993,0.376,0.494,0.445,0.583,0.405,0.508
"2018-08-01 16:00:00",3994,0.379,0.49,0.446,0.585,0.404,0.503
"2018-08-01 16:30:00",3995,0.391,0.491,0.453,0.594,0.405,0.514
"2018-08-01 17:00:00",3996,0.399,0.494,0.457,0.6,0.407,0.521
"2018-08-01 17:30:00",3997,0.414,0.507,0.474,0.611,0.416,0.539
"2018-08-01 18:00:00",3998,0.428,0.518,0.489,0.619,0.426,0.554
"2018-08-01 18:30:00",3999,0.447,0.532,0.507,0.628,0.438,0.572
"2018-08-01 19:00:00",4000,0.46,0.543,0.52,0.633,0.45,0.586
"2018-08-01 19:30:00",4001,0.471,0.553,0.531,0.638,0.461,0.599
"2018-08-01 20:00:00",4002,0.483,0.565,0.543,0.641,0.472,0.614
"2018-08-01 20:30:00",4003,0.493,0.576,0.552,0.643,0.481,0.626
"2018-08-01 21:00:00",4004,0.501,0.583,0.558,0.645,0.487,0.635
"2018-08-01 21:30:00",4005,0.504,0.584,0.562,0.643,0.489,0.64
"2018-08-01 22:00:00",4006,0.505,0.585,0.564,0.644,0.492,0.642
"2018-08-01 22:30:00",4007,0.506,0.588,0.566,0.646,0.495,0.645
"2018-08-01 23:00:00",4008,0.508,0.591,0.568,0.646,0.497,0.647
"2018-08-01 23:30:00",4009,0.509,0.593,0.569,0.647,0.498,0.649
