Plot,Tree_Number,DBH_cm,Species
Fresh,1,66.4,Tulip Poplar
Fresh,2,68,Tulip Poplar
Fresh,3,65.2,Tulip Poplar
Fresh,4,54.8,Tulip Poplar
Fresh,5,78.2,Tulip Poplar
Fresh,6,51.5,Tulip Poplar
Fresh,7,25.6,Red Maple
Fresh,8,26.2,Red Maple
Control,1,50,Tulip Poplar
Control,2,61.1,Tulip Poplar
Control,3,36.9,Tulip Poplar
Control,4,49.9,Tulip Poplar
Control,5,44.2,Tulip Poplar
Control,6,49.5,Tulip Poplar
Control,7,24.3,Red Maple
Control,8,29.2,Red Maple
Salt,1,46.2,Tulip Poplar
Salt,2,39.4,Tulip Poplar
Salt,3,45.5,Tulip Poplar
Salt,4,47.5,Tulip Poplar
Salt,5,40,Tulip Poplar
Salt,6,58.2,Tulip Poplar
Salt,7,31.8,Red Maple
Salt,8,25.9,Red Maple
Shore,1,25.9,Red Maple
Shore,2,21,Red Maple
Shore,3,35.2,Red Maple
Shore,4,14,Red Maple
Shore,5,22,Red Maple
Shore,6,14.6,Red Maple
